#{"env_id": "CartPole-v1", "t_start": 1531944062.598562}
r,l,t
22.0,22,0.025674
21.0,21,0.041089
24.0,24,0.058602
39.0,39,0.086983
30.0,30,0.108841
13.0,13,0.118456
22.0,22,0.134545
29.0,29,0.155807
12.0,12,0.164631
15.0,15,0.175627
12.0,12,0.184463
17.0,17,0.196915
43.0,43,0.228327
40.0,40,0.257904
11.0,11,0.266004
12.0,12,0.274833
14.0,14,0.285109
14.0,14,0.295403
44.0,44,0.32775
12.0,12,0.336569
20.0,20,0.351246
32.0,32,0.374703
29.0,29,0.395955
10.0,10,0.403339
12.0,12,0.412148
12.0,12,0.421038
15.0,15,0.432067
19.0,19,0.446084
11.0,11,0.454231
15.0,15,0.465354
45.0,45,0.498449
21.0,21,0.513851
33.0,33,0.538004
10.0,10,0.545365
25.0,25,0.563776
11.0,11,0.571867
18.0,18,0.585057
20.0,20,0.599958
17.0,17,0.612417
17.0,17,0.624888
28.0,28,0.645443
15.0,15,0.656469
30.0,30,0.678547
